score,time,nok,nko,groupName,userId,moduleName,nsession,key,sumscore,sumtime,sumnok,sumnko,sumnsession
8,12,85,25,"FED 1","2660634","Les Fondamentaux Campus",1,"06/09/2017",8,12,85,25,1
5,8,71,16,"FED 1","2660634","Les Fondamentaux Campus",1,"09/09/2017",13,20,156,41,2
7,11,91,27,"FED 1","2660634","Les Fondamentaux Campus",1,"11/09/2017",20,31,247,68,3
27,87,379,140,"FED 1","2660634","Les Fondamentaux Campus",1,"19/09/2017",47,118,626,208,4
7,15,39,8,"FED 1","2660634","Pro",1,"19/01/2018",54,133,665,216,5
49.20000000000001,39,295,82,"FED 1","2660634","Pro",1,"20/03/2018",103.20000000000002,172,960,298,6
9,17,57,30,"FED 1","2660634","Pro",1,"21/03/2018",112.20000000000002,189,1017,328,7
44.000000000000014,101,335,129,"FED 1","2660635","Les Fondamentaux Campus",1,"19/09/2017",44.000000000000014,101,335,129,1
13.280000000000003,16,114,45,"FED 1","2660635","Pro",1,"11/10/2017",57.280000000000015,117,449,174,2
6.76,17,108,45,"FED 1","2660635","Pro",1,"23/03/2018",64.04000000000002,134,557,219,3
1.76,6,30,17,"FED 1","2660635","Pro",1,"27/03/2018",65.80000000000003,140,587,236,4
27.46,27,165,41,"FED 1","2660636","Supérieur",1,"11/10/2017",27.46,27,165,41,1
49.26000000000001,62,472,212,"FED 1","2660636","Supérieur",1,"14/12/2017",76.72000000000001,89,637,253,2
4.76,13,73,42,"FED 1","2660636","Supérieur",1,"20/03/2018",81.48000000000002,102,710,295,3
54,87,490,92,"FED 1","2660637","Les Fondamentaux Campus",1,"11/09/2017",54,87,490,92,1
104.33999999999997,192,1433,525,"FED 1","2660637","Pro",1,"19/09/2017",158.33999999999997,279,1923,617,2
5.82,9,79,31,"FED 1","2660637","Pont supérieur",1,"06/10/2017",164.15999999999997,288,2002,648,3
0.94,2,21,11,"FED 1","2660637","Pont supérieur",1,"30/11/2017",165.09999999999997,290,2023,659,4
13.64,40,284,141,"FED 1","2660637","Pont supérieur",1,"21/03/2018",178.73999999999995,330,2307,800,5
6.3999999999999995,4,42,16,"FED 1","2660637","Pont supérieur",1,"23/03/2018",185.13999999999996,334,2349,816,6
3.88,13,28,7,"FED 1","2660638","Les Fondamentaux Campus",1,"19/09/2017",3.88,13,28,7,1
8.879999999999999,28,84,26,"FED 1","2660638","Les Fondamentaux Campus",1,"11/10/2017",12.759999999999998,41,112,33,2
10.800000000000002,57,124,50,"FED 1","2660638","Les Fondamentaux Campus",1,"20/03/2018",23.560000000000002,98,236,83,3
21.28,65,93,20,"FED 1","2660638","Les Fondamentaux Campus",1,"21/03/2018",44.84,163,329,103,4
4,6,23,3,"FED 1","2660640","Les Fondamentaux Campus",1,"06/09/2017",4,6,23,3,1
7,4,29,2,"FED 1","2660640","Les Fondamentaux Campus",1,"19/09/2017",11,10,52,5,2
8.52,13,73,17,"FED 1","2660640","Les Fondamentaux Campus",1,"05/10/2017",19.52,23,125,22,3
4.4,52,48,18,"FED 1","2660640","Les Fondamentaux Campus",1,"11/10/2017",23.92,75,173,40,4
6.64,6,43,15,"FED 1","2660640","Les Fondamentaux Campus",1,"07/03/2018",30.560000000000002,81,216,55,5
1.88,3,8,2,"FED 1","2660641","Les Fondamentaux Campus",1,"19/09/2017",1.88,3,8,2,1
1.76,5,16,5,"FED 1","2660641","Les Fondamentaux Campus",1,"05/10/2017",3.6399999999999997,8,24,7,2
3.64,9,33,25,"FED 1","2660641","Les Fondamentaux Campus",1,"11/10/2017",7.279999999999999,17,57,32,3
11.040000000000003,99,154,87,"FED 1","2660641","Les Fondamentaux Campus",1,"20/03/2018",18.32,116,211,119,4
1.88,33,22,33,"FED 1","2660641","Les Fondamentaux Campus",1,"21/03/2018",20.2,149,233,152,5
3.94,15,34,25,"FED 1","2660642","Les Fondamentaux Campus",1,"06/09/2017",3.94,15,34,25,1
3.82,18,87,47,"FED 1","2660642","Les Fondamentaux Campus",1,"11/09/2017",7.76,33,121,72,2
11.759999999999998,31,166,67,"FED 1","2660642","Les Fondamentaux Campus",1,"11/10/2017",19.519999999999996,64,287,139,3
11.639999999999999,40,219,113,"FED 1","2660642","Les Fondamentaux Campus",1,"20/12/2017",31.159999999999997,104,506,252,4
14.879999999999999,75,140,62,"FED 1","2660642","Les Fondamentaux Campus",1,"21/12/2017",46.03999999999999,179,646,314,5
16.400000000000002,7,62,16,"FED 1","2660642","Pro",1,"26/04/2018",62.44,186,708,330,6
1,1,3,0,"FED 1","2660643","Les Fondamentaux Campus",1,"06/09/2017",1,1,3,0,1
6.639999999999999,42,192,93,"FED 1","2660643","Les Fondamentaux Campus",1,"21/09/2017",7.639999999999999,43,195,93,2
7.579999999999999,22,86,37,"FED 1","2660643","Les Fondamentaux Campus",1,"11/10/2017",15.219999999999999,65,281,130,3
3.88,7,20,8,"FED 1","2660643","Les Fondamentaux Campus",1,"21/03/2018",19.099999999999998,72,301,138,4
19.16,69,148,44,"FED 1","2660644","Les Fondamentaux Campus",1,"05/10/2017",19.16,69,148,44,1
4.64,26,44,26,"FED 1","2660644","Les Fondamentaux Campus",1,"21/03/2018",23.8,95,192,70,2
6.52,9,34,6,"FED 1","2660644","Les Fondamentaux Campus",1,"27/03/2018",30.32,104,226,76,3
7.639999999999999,20,121,51,"FED 1","2660645","Les Fondamentaux Campus",1,"19/09/2017",7.639999999999999,20,121,51,1
4.88,32,89,28,"FED 1","2660645","Les Fondamentaux Campus",1,"05/10/2017",12.52,52,210,79,2
4.52,11,129,49,"FED 1","2660645","Les Fondamentaux Campus",1,"11/10/2017",17.04,63,339,128,3
18.98,46,196,76,"FED 1","2660646","Les Fondamentaux Campus",1,"19/09/2017",18.98,46,196,76,1
11.04,59,102,66,"FED 1","2660646","Les Fondamentaux Campus",1,"20/03/2018",30.02,105,298,142,2
7.76,14,40,13,"FED 1","2660646","Les Fondamentaux Campus",1,"21/03/2018",37.78,119,338,155,3
0,0,0,1,"FED 1","2660646","Les Fondamentaux Campus",1,"27/03/2018",37.78,119,338,156,4
3.88,9,46,17,"FED 1","2660647","Les Fondamentaux Campus",1,"19/09/2017",3.88,9,46,17,1
3.94,9,50,17,"FED 1","2660647","Les Fondamentaux Campus",1,"23/09/2017",7.82,18,96,34,2
11.7,23,123,33,"FED 1","2660647","Les Fondamentaux Campus",1,"11/10/2017",19.52,41,219,67,3
4.76,45,189,152,"FED 1","2660647","Les Fondamentaux Campus",1,"07/12/2017",24.28,86,408,219,4
6.9399999999999995,10,67,19,"FED 1","2660647","Les Fondamentaux Campus",1,"23/01/2018",31.22,96,475,238,5
14.819999999999999,28,128,30,"FED 1","2660647","Les Fondamentaux Campus",1,"01/03/2018",46.04,124,603,268,6
14.520000000000001,23,101,27,"FED 1","2660647","Pro",1,"20/03/2018",60.56,147,704,295,7
7.64,30,97,55,"FED 1","2660647","Pro",1,"21/03/2018",68.2,177,801,350,8
8.76,23,94,59,"FED 1","2660647","Pro",1,"27/03/2018",76.96000000000001,200,895,409,9
19.759999999999998,26,108,22,"FED 1","2753513","Les Fondamentaux Campus",1,"11/10/2017",19.759999999999998,26,108,22,1
4.58,24,52,33,"FED 1","2753513","Les Fondamentaux Campus",1,"22/12/2017",24.339999999999996,50,160,55,2
21.4,29,89,16,"FED 1","2753513","Les Fondamentaux Campus",1,"19/01/2018",45.739999999999995,79,249,71,3
3,7,36,9,"FED 1","2753518","Les Fondamentaux Campus",1,"30/11/2017",3,7,36,9,1
43.04000000000001,54,273,52,"FED 1","2753518","Les Fondamentaux Campus",1,"21/03/2018",46.04000000000001,61,309,61,2
12.639999999999997,39,196,84,"FED 1","2753542","Les Fondamentaux Campus",1,"11/10/2017",12.639999999999997,39,196,84,1
6.82,66,154,67,"FED 1","2753542","Les Fondamentaux Campus",1,"16/12/2017",19.459999999999997,105,350,151,2
19.58,48,210,96,"FED 1","2753542","Les Fondamentaux Campus",1,"17/12/2017",39.03999999999999,153,560,247,3
6.819999999999999,49,119,43,"FED 1","2753542","Les Fondamentaux Campus",1,"20/03/2018",45.85999999999999,202,679,290,4
13.640000000000002,28,137,60,"FED 1","2753542","Pro",1,"21/03/2018",59.49999999999999,230,816,350,5
14,4,52,2,"","3053535","Supérieur",1,"22/11/2017",14,4,52,2,1
14,17,88,14,"","3053535","Supérieur",1,"06/12/2017",28,21,140,16,2
37.58,21,173,20,"","3053535","Supérieur",1,"12/12/2017",65.58,42,313,36,3
4,2,14,1,"","3053535","Supérieur",1,"17/12/2017",69.58,44,327,37,4
13.76,8,55,6,"","3053535","Supérieur",1,"22/12/2017",83.34,52,382,43,5
39.4,28,159,26,"","3053535","Supérieur",1,"24/12/2017",122.74000000000001,80,541,69,6
47,191,1078,218,"AM 1","3118070","Les Fondamentaux Campus",1,"11/12/2017",47,191,1078,218,1
27.700000000000003,60,295,102,"AM 1","3118070","Pro",1,"18/12/2017",74.7,251,1373,320,2
34.88,78,475,148,"AM 1","3118070","Pro",1,"19/12/2017",109.58000000000001,329,1848,468,3
14,85,281,110,"AM 1","3118070","Pro",1,"23/01/2018",123.58000000000001,414,2129,578,4
54.56,140,622,201,"AM 1","3118070","Pro",1,"06/02/2018",178.14000000000001,554,2751,779,5
30.22000000000001,54,361,124,"AM 1","3118070","Pont supérieur",1,"06/03/2018",208.36,608,3112,903,6
18.68,30,156,79,"AM 1","3118082","Les Fondamentaux Campus",1,"27/03/2018",18.68,30,156,79,1
1,3,5,1,"AM 1","3118083","Les Fondamentaux Campus",1,"11/12/2017",1,3,5,1,1
7.16,29,87,46,"AM 1","3134983","Les Fondamentaux Campus",1,"15/12/2017",7.16,29,87,46,1
36.24000000000001,60,266,105,"AM 1","3134983","Les Fondamentaux Campus",1,"19/12/2017",43.400000000000006,89,353,151,2
12.879999999999999,22,85,19,"AM 1","3134988","Les Fondamentaux Campus",1,"23/01/2018",12.879999999999999,22,85,19,1
