id,group,time,date,entrees,sumentrees
joc,museum,15:30,03/01/2019,1860,73165
joc,museum,16:00,03/01/2019,1801,74966
joc,museum,16:30,03/01/2019,1554,76520
joc,museum,17:00,03/01/2019,977,77497
joc,museum,17:30,03/01/2019,731,78228
joc,museum,18:00,03/01/2019,196,78424
joc,museum,18:30,03/01/2019,222,78646
joc,museum,19:00,03/01/2019,0,78646
joc,museum,19:30,03/01/2019,0,78646
joc,museum,20:00,03/01/2019,0,78646
joc,museum,20:30,03/01/2019,0,78646
joc,museum,21:00,03/01/2019,0,78646
joc,museum,21:30,03/01/2019,0,78646
joc,museum,22:00,03/01/2019,0,78646
joc,museum,22:30,03/01/2019,0,78646
joc,museum,23:00,03/01/2019,0,78646
joc,museum,23:30,03/01/2019,0,78646
joc,museum,00:00,04/01/2019,0,78646
joc,museum,00:30,04/01/2019,0,78646
joc,museum,01:00,04/01/2019,0,78646
joc,museum,01:30,04/01/2019,0,78646
joc,museum,02:00,04/01/2019,0,78646
joc,museum,02:30,04/01/2019,0,78646
joc,museum,03:00,04/01/2019,0,78646
joc,museum,03:30,04/01/2019,0,78646
joc,museum,04:00,04/01/2019,0,78646
joc,museum,04:30,04/01/2019,0,78646
joc,museum,05:00,04/01/2019,0,78646
joc,museum,05:30,04/01/2019,0,78646
joc,museum,06:00,04/01/2019,0,78646
joc,museum,06:30,04/01/2019,0,78646
joc,museum,07:00,04/01/2019,0,78646
joc,museum,07:30,04/01/2019,0,78646
joc,museum,08:00,04/01/2019,0,78646
joc,museum,08:30,04/01/2019,0,78646
joc,museum,09:00,04/01/2019,338,78984
joc,museum,09:30,04/01/2019,1713,80697
joc,museum,10:00,04/01/2019,1845,82542
joc,museum,10:30,04/01/2019,1966,84508
joc,museum,11:00,04/01/2019,1877,86385
joc,museum,11:30,04/01/2019,1986,88371
joc,museum,12:00,04/01/2019,1727,90098
joc,museum,12:30,04/01/2019,1561,91659
joc,museum,13:00,04/01/2019,1573,93232
joc,museum,13:30,04/01/2019,1698,94930
joc,museum,14:00,04/01/2019,1889,96819
joc,museum,14:30,04/01/2019,1794,98613
joc,museum,15:00,04/01/2019,1938,100551
joc,museum,15:30,04/01/2019,1941,102492
joc,museum,16:00,04/01/2019,1793,104285
joc,museum,16:30,04/01/2019,1571,105856
joc,museum,17:00,04/01/2019,1465,107321
joc,museum,17:30,04/01/2019,1310,108631
joc,museum,18:00,04/01/2019,1296,109927
joc,museum,18:30,04/01/2019,1304,111231
joc,museum,19:00,04/01/2019,1192,112423
joc,museum,19:30,04/01/2019,878,113301
joc,museum,20:00,04/01/2019,589,113890
joc,museum,20:30,04/01/2019,446,114336
joc,museum,21:00,04/01/2019,240,114576
joc,museum,21:30,04/01/2019,120,114696
joc,museum,22:00,04/01/2019,27,114723
joc,museum,22:30,04/01/2019,0,114723
joc,museum,23:00,04/01/2019,0,114723
joc,museum,23:30,04/01/2019,0,114723
joc,museum,00:00,05/01/2019,0,114723
joc,museum,00:30,05/01/2019,0,114723
joc,museum,01:00,05/01/2019,0,114723
joc,museum,01:30,05/01/2019,0,114723
joc,museum,02:00,05/01/2019,0,114723
joc,museum,02:30,05/01/2019,0,114723
joc,museum,03:00,05/01/2019,0,114723
joc,museum,03:30,05/01/2019,0,114723
joc,museum,04:00,05/01/2019,0,114723
joc,museum,04:30,05/01/2019,0,114723
joc,museum,05:00,05/01/2019,0,114723
joc,museum,05:30,05/01/2019,0,114723
joc,museum,06:00,05/01/2019,0,114723
joc,museum,06:30,05/01/2019,0,114723
joc,museum,07:00,05/01/2019,0,114723
joc,museum,07:30,05/01/2019,0,114723
joc,museum,08:00,05/01/2019,0,114723
joc,museum,08:30,05/01/2019,0,114723
joc,museum,09:00,05/01/2019,210,114933
joc,museum,09:30,05/01/2019,1127,116060
joc,museum,10:00,05/01/2019,1213,117273
joc,museum,10:30,05/01/2019,1191,118464
joc,museum,11:00,05/01/2019,1334,119798
joc,museum,11:30,05/01/2019,1242,121040
joc,museum,12:00,05/01/2019,1252,122292
joc,museum,12:30,05/01/2019,1171,123463
joc,museum,13:00,05/01/2019,1122,124585
joc,museum,13:30,05/01/2019,1136,125721
joc,museum,14:00,05/01/2019,1321,127042
joc,museum,14:30,05/01/2019,1518,128560
joc,museum,15:00,05/01/2019,1306,129866
joc,museum,15:30,05/01/2019,1396,131262
joc,museum,16:00,05/01/2019,1208,132470
joc,museum,16:30,05/01/2019,1255,133725
joc,museum,17:00,05/01/2019,1189,134914
joc,museum,17:30,05/01/2019,1267,136181
joc,museum,18:00,05/01/2019,1235,137416
joc,museum,18:30,05/01/2019,1925,139341
joc,museum,19:00,05/01/2019,1936,141277
joc,museum,19:30,05/01/2019,1779,143056
joc,museum,20:00,05/01/2019,1648,144704
joc,museum,20:30,05/01/2019,1229,145933
joc,museum,21:00,05/01/2019,1001,146934
joc,museum,21:30,05/01/2019,69,147003
joc,museum,22:00,05/01/2019,56,147059
joc,museum,22:30,05/01/2019,0,147059
joc,museum,23:00,05/01/2019,0,147059
joc,museum,23:30,05/01/2019,0,147059
joc,museum,00:00,06/01/2019,0,147059
joc,museum,00:30,06/01/2019,0,147059
joc,museum,01:00,06/01/2019,0,147059
joc,museum,01:30,06/01/2019,0,147059
joc,museum,02:00,06/01/2019,0,147059
joc,museum,02:30,06/01/2019,0,147059
joc,museum,03:00,06/01/2019,0,147059
joc,museum,03:30,06/01/2019,0,147059
joc,museum,04:00,06/01/2019,0,147059
joc,museum,04:30,06/01/2019,0,147059
joc,museum,05:00,06/01/2019,0,147059
joc,museum,05:30,06/01/2019,0,147059
joc,museum,06:00,06/01/2019,0,147059
joc,museum,06:30,06/01/2019,0,147059
joc,museum,07:00,06/01/2019,0,147059
joc,museum,07:30,06/01/2019,0,147059
joc,museum,08:00,06/01/2019,0,147059
joc,museum,08:30,06/01/2019,0,147059
joc,museum,09:00,06/01/2019,209,147268
joc,museum,09:30,06/01/2019,1353,148621
joc,museum,10:00,06/01/2019,1502,150123
joc,museum,10:30,06/01/2019,1320,151443
joc,museum,11:00,06/01/2019,1554,152997
joc,museum,11:30,06/01/2019,1390,154387
joc,museum,12:00,06/01/2019,1529,155916
joc,museum,12:30,06/01/2019,1408,157324
