"Date","reservations","reservations_uniques","reservations_mobile","reservations_web","reservations_portail","reservations_annulees"
"05/02/2019",265,217,202,63,0,53
"06/02/2019",267,216,193,74,0,50
"07/02/2019",244,202,197,47,0,36
"08/02/2019",197,175,165,32,0,24
"09/02/2019",166,144,118,48,0,37
"10/02/2019",161,130,129,32,0,29
"11/02/2019",313,243,216,97,0,83
"12/02/2019",286,183,173,60,53,130
"13/02/2019",277,170,150,74,53,126
"14/02/2019",255,161,166,38,51,109
"15/02/2019",170,148,137,33,0,20
"16/02/2019",115,98,75,40,0,27
"17/02/2019",103,89,79,24,0,21
