Date;BU Rockefeller;BU Sciences Doua;BU Lyon-Sud;BU Croix-Rousse;BU Odontologie;Sciences Po Lyon;BU Chevreul;BU Bron;Bib Marie Curie;BU Manufacture - Lyon 3;Learning Hub Lyon - Ecully;maker's lab Lyon - Ecully;Bib Michel Serres;atelier makers' lab Lyon - Ecully;total
27/09/2018;4780;3952;496;531;130;802;3201;2409;101;5640;887;205;241;0;23375
28/09/2018;3811;3082;483;420;79;454;2344;1268;256;4120;640;165;216;0;17338
29/09/2018;2632;1712;259;48;0;0;1209;0;7;958;59;1;44;0;6929
30/09/2018;1735;2235;0;0;0;0;1185;0;0;0;0;0;0;0;5155
01/10/2018;2295;2359;314;322;164;769;3787;3333;94;7168;1304;415;306;0;22630
02/10/2018;4814;4797;806;729;199;0;4011;3622;1860;7299;1344;262;328;385;30456
03/10/2018;4812;4448;562;732;224;803;3563;3287;1582;7027;1172;376;259;0;28847
04/10/2018;4544;3690;659;625;110;709;3668;2823;1485;6927;1114;238;156;65;26813
05/10/2018;3983;3339;464;457;96;453;2693;1429;1225;4667;749;324;159;562;20600
06/10/2018;2826;2243;273;46;0;0;1481;0;619;747;93;0;15;0;8343
07/10/2018;1903;2409;0;0;0;0;1153;0;0;0;0;0;0;0;5465
08/10/2018;4786;4775;755;596;270;785;3965;3089;1661;6833;1486;332;269;0;29602
09/10/2018;4518;5186;800;587;155;977;4124;3235;1965;7093;2010;303;326;1218;32497
10/10/2018;3890;4595;805;987;155;845;3953;3025;1761;6966;1114;259;261;75;28691
11/10/2018;4123;4568;826;498;142;844;3776;2631;2059;6702;859;256;166;28;27478
12/10/2018;3564;3233;914;513;152;507;2911;1482;1368;4779;687;322;162;47;20641
13/10/2018;2285;2202;407;0;0;0;1517;0;849;1054;74;0;20;0;8408
14/10/2018;1898;2900;0;0;0;0;1409;0;0;0;0;0;0;0;6207
15/10/2018;4244;4959;0;0;285;872;3905;2942;1791;6793;1486;709;298;0;28284
16/10/2018;4399;5246;0;0;201;945;3986;3338;2059;6872;1459;425;299;0;29229
17/10/2018;4316;4705;0;0;193;930;3704;3213;0;6915;1369;463;245;0;26053
18/10/2018;4303;4491;0;0;171;837;3497;2673;1878;6474;1038;390;170;0;25922
19/10/2018;3579;3676;0;0;139;527;2968;1414;1243;4547;678;423;199;0;19393
20/10/2018;2532;2635;0;0;0;0;1572;0;685;1082;88;0;33;0;8627
21/10/2018;2100;2972;0;0;0;0;7;0;0;0;0;0;0;0;5079
22/10/2018;4618;5113;846;0;310;839;4017;3186;1668;7126;1442;490;324;0;29979
23/10/2018;4752;5142;741;0;192;963;4087;3415;1932;7230;1325;742;288;0;30809
24/10/2018;4444;4533;798;0;139;856;3893;3225;1770;6973;932;260;196;0;28019
25/10/2018;4660;4292;831;461;212;718;3698;2808;1599;6646;609;179;133;0;26846
26/10/2018;3785;3047;883;338;128;303;2580;1370;1198;4905;579;208;138;0;19462
27/10/2018;2578;1551;407;34;0;0;993;0;54;1103;103;0;0;0;6823
28/10/2018;1980;1762;0;0;0;0;975;0;0;0;0;0;0;0;4717
29/10/2018;4752;2502;918;279;373;67;2260;224;294;5111;179;9;32;0;17000
